R0000100,R0536300,R0536401,R0536402,R1204500,R1235800,R1482600,T5201400,T5202300,T5207400,T5211900,T5213200,T5397100,T6055500,T6141700,T6141800,T6145800,T6206400,T6210200,T6216400,T6216401,T6216402,T6216403,T6216500,T6216501,T6216502,T6216503,T6231000,T8123600,T8123700,T8129600,T8134500,T8976700,T9039300,T9039400,T9039500,T9039600,T9039700,T9039800,T9039900,T9040000,T9093100,T9093300,U0203700,T5915200,T5206800,T8128900,T5797300,T5808400,T6316000,T6230100,R0532200,R1302400,R1302500,R1486500,R1486600,R1486900,R1487700,R1487800,U0009400
444,2,2,1982,15000,1,2,28,4,0,1,99546,-4,-4,1,-4,2,3,0,7,7,7,7,6,6,5,5,-4,31,4,0,1,-2,210,-2,-2,-2,2,2,2,2,3,0,-4,0,9,9,-4,-4,-4,-4,1,-3,12,1,1,500,4,0,0
445,1,1,1981,-4,1,2,29,4,2,1,129336,357,29000,-1,-1,2,3,0,1,1,7,7,1,1,7,7,8260,32,4,2,1,15000,150,2,1,4,1,5,5,1,3,0,-4,0,12,17,0,1,-4,1490,0,-4,-3,4,-4,-4,0,0,2
446,1,2,1983,-4,1,2,27,4,2,1,106022,-4,50000,5,4,4,3,0,1,1,7,5,3,4,6,2,9000,30,4,2,1,45000,185,4,2,4,1,4,4,2,2,0,-4,2,12,12,0,1,1,9990,0,-4,-3,4,3,-4,0,2,2
447,2,9,1983,-3,1,2,27,4,2,1,109799,-4,-4,5,1,2,4,0,1,7,6,7,1,1,4,5,-4,30,4,2,1,2000,170,5,5,5,1,1,5,1,4,0,-4,0,12,12,-4,-4,0,-4,1,12,12,2,2,600,0,0,2
448,2,9,1983,-3,1,2,27,4,2,1,109799,-4,15000,-2,-2,1,4,0,1,1,1,1,1,1,1,1,4620,30,4,2,1,5000,198,5,5,5,1,4,5,1,5,0,-4,0,12,12,0,1,-4,8290,1,12,12,1,2,600,0,0,2
449,2,9,1984,15000,1,2,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,12,11,2,2,600,0,0,-5
450,2,11,1980,14000,1,2,30,3,2,1,139029,-4,20000,5,3,4,3,0,2,1,5,7,5,1,5,6,5400,33,3,2,1,10000,140,-2,3,-2,2,3,2,4,4,1,-4,1,12,13,0,3,-4,7970,1,6,6,1,3,200,5,2,2
451,1,9,1983,14000,1,2,27,3,1,1,112247,-4,24000,5,11,3,3,0,5,3,7,7,2,7,5,3,8960,30,3,1,1,27000,170,1,3,2,1,1,1,1,3,0,-4,0,11,11,0,3,-4,3890,1,6,6,4,4,200,2,2,1
452,2,3,1981,19500,1,2,29,4,0,1,96766,-4,-4,5,2,-2,3,0,5,6,5,7,1,5,1,1,-4,32,4,0,1,-4,52,4,4,3,1,3,3,1,1,0,-4,2,10,10,-4,-4,-4,-4,0,-3,-3,2,2,600,1,0,0
453,2,7,1982,19500,1,2,28,4,0,1,105390,-4,-4,5,4,5,3,0,3,2,3,5,1,1,7,7,-4,31,4,0,1,-4,320,3,3,-1,3,5,5,2,4,1,-4,1,7,7,-4,-4,-4,-4,0,-3,-3,1,1,600,6,3,0
